Unnamed: 0,age,balance,campaign,pdays,last_contact,poutcome_success
0,58,2143,1,-1,197,0
2,33,2,1,-1,197,0
11,29,390,1,-1,197,0
12,53,6,1,-1,197,0
17,57,52,1,-1,197,0
18,60,60,1,-1,197,0
24,40,0,1,-1,197,0
38,36,506,1,-1,197,0
40,44,2586,1,-1,197,0
50,54,1291,1,-1,197,0
58,40,24,1,-1,197,0
59,46,179,1,-1,197,0
67,59,59,1,-1,197,0
73,55,23,1,-1,197,0
74,43,1937,1,-1,197,0
78,49,0,1,-1,197,0
82,42,690,1,-1,197,0
86,56,45,1,-1,197,0
90,42,50,1,-1,197,0
91,30,152,2,-1,197,0
92,60,290,1,-1,197,0
93,60,54,1,-1,197,0
94,57,-37,1,-1,197,0
100,44,-674,1,-1,197,0
105,44,54,1,-1,197,0
107,34,61,1,-1,197,0
109,45,523,2,-1,197,0
112,56,-34,2,-1,197,0
120,56,56,1,-1,197,0
125,33,105,2,-1,197,0
137,43,0,1,-1,197,0
138,32,517,1,-1,197,0
140,53,947,1,-1,197,0
144,59,57,1,-1,197,0
149,54,348,2,-1,197,0
162,47,176,2,-1,197,0
164,45,86,1,-1,197,0
168,54,184,2,-1,197,0
169,50,0,3,-1,197,0
187,54,4080,1,-1,197,0
192,55,73,2,-1,197,0
195,33,307,2,-1,197,0
199,61,1428,2,-1,197,0
204,35,0,1,-1,197,0
207,41,517,1,-1,197,0
208,39,257,1,-1,197,0
211,53,330,2,-1,197,0
223,55,0,1,-1,197,0
228,36,1033,2,-1,197,0
230,47,-12,1,-1,197,0
238,44,66,1,-1,197,0
244,49,3237,3,-1,197,0
249,51,2248,2,-1,197,0
250,49,428,1,-1,197,0
253,33,140,1,-1,197,0
259,40,475,2,-1,197,0
260,53,70,2,-1,197,0
264,41,236,1,-1,197,0
266,37,600,1,-1,197,0
273,56,155,3,-1,197,0
275,59,319,3,-1,197,0
284,30,0,2,-1,197,0
286,47,368,2,-1,197,0
289,40,672,2,-1,197,0
295,56,13,2,-1,197,0
302,57,211,2,-1,197,0
303,36,62,2,-1,197,0
304,53,257,2,-1,197,0
307,55,89,3,-1,197,0
319,42,490,2,-1,197,0
320,51,0,2,-1,197,0
321,49,403,2,-1,197,0
322,48,161,3,-1,197,0
323,32,2558,2,-1,197,0
331,42,57,2,-1,197,0
332,30,-457,2,-1,197,0
336,42,1022,2,-1,197,0
354,59,27,3,-1,197,0
355,31,12,2,-1,197,0
356,44,34,4,-1,197,0
367,43,1,1,-1,196,0
384,38,20,1,-1,196,0
385,58,1667,1,-1,196,0
393,27,4,1,-1,196,0
395,32,0,3,-1,196,0
402,29,16,1,-1,196,0
404,52,7,2,-1,196,0
410,32,406,1,-1,196,0
441,34,242,1,-1,196,0
449,42,132,1,-1,196,0
457,37,1,1,-1,196,0
463,39,408,1,-1,196,0
466,36,20,1,-1,196,0
468,55,52,1,-1,196,0
481,41,871,1,-1,196,0
482,41,767,1,-1,196,0
483,43,0,1,-1,196,0
499,37,17,1,-1,196,0
501,32,-170,1,-1,196,0
513,41,0,1,-1,196,0
518,31,17,1,-1,196,0
520,46,1527,1,-1,196,0
523,29,0,1,-1,196,0
530,44,213,1,-1,196,0
531,31,203,3,-1,196,0
537,45,-66,2,-1,196,0
541,49,505,1,-1,196,0
545,36,639,1,-1,196,0
552,30,34,1,-1,196,0
554,33,-10,1,-1,196,0
555,36,-106,2,-1,196,0
556,39,471,2,-1,196,0
557,56,778,2,-1,196,0
559,42,315,2,-1,196,0
561,36,131,1,-1,196,0
562,35,204,2,-1,196,0
566,38,1759,1,-1,196,0
571,56,1602,1,-1,196,0
574,54,193,1,-1,196,0
575,61,195,1,-1,196,0
578,53,25,3,-1,196,0
586,55,840,2,-1,196,0
587,37,358,3,-1,196,0
600,38,384,3,-1,196,0
602,37,-118,2,-1,196,0
604,51,50,1,-1,196,0
616,31,60,1,-1,196,0
623,59,-119,1,-1,196,0
625,31,1852,3,-1,196,0
626,35,533,1,-1,196,0
628,34,2434,4,-1,196,0
659,38,1349,1,-1,196,0
669,47,201,2,-1,196,0
671,31,0,2,-1,196,0
672,49,1,3,-1,196,0
679,41,0,3,-1,196,0
680,46,80,2,-1,196,0
683,49,82,1,-1,196,0
693,39,1205,2,-1,196,0
694,36,368,2,-1,196,0
699,57,2142,3,-1,196,0
701,46,401,2,-1,196,0
709,33,372,2,-1,196,0
710,31,0,2,-1,196,0
719,38,3047,2,-1,196,0
720,54,83,3,-1,196,0
723,28,251,2,-1,196,0
727,42,101,3,-1,196,0
736,40,-7,2,-1,196,0
739,35,550,2,-1,196,0
745,43,1211,3,-1,196,0
752,36,144,2,-1,196,0
753,55,383,3,-1,196,0
768,29,110,3,-1,195,0
769,39,245,3,-1,195,0
777,45,103,4,-1,195,0
780,30,4,8,-1,195,0
784,57,1617,2,-1,195,0
794,46,2303,1,-1,195,0
796,34,205,1,-1,195,0
797,39,305,6,-1,195,0
801,40,139,1,-1,195,0
802,36,184,3,-1,195,0
808,56,223,1,-1,195,0
815,45,97,3,-1,195,0
822,39,981,1,-1,195,0
830,40,490,2,-1,195,0
850,36,342,1,-1,195,0
852,54,-248,1,-1,195,0
863,40,1265,1,-1,195,0
866,49,3659,1,-1,195,0
872,32,0,1,-1,195,0
877,45,154,1,-1,195,0
879,38,8,1,-1,195,0
890,29,872,1,-1,195,0
897,38,100,1,-1,195,0
899,43,167,1,-1,195,0
901,40,2100,2,-1,195,0
904,33,442,1,-1,195,0
912,47,34,1,-1,195,0
915,43,140,1,-1,195,0
917,28,97,1,-1,195,0
920,44,58544,2,-1,195,0
924,32,-205,1,-1,195,0
931,33,0,1,-1,195,0
934,54,-932,1,-1,195,0
942,31,-45,2,-1,195,0
944,31,564,3,-1,195,0
947,46,1481,3,-1,195,0
951,51,220,2,-1,195,0
952,33,198,2,-1,195,0
957,57,502,3,-1,195,0
961,57,906,1,-1,195,0
966,49,1496,4,-1,195,0
983,46,207,4,-1,195,0
995,37,310,1,-1,195,0
999,33,56,2,-1,195,0
1005,30,342,2,-1,195,0
1011,34,1107,1,-1,195,0
1031,44,7,3,-1,195,0
1032,37,16,3,-1,195,0
1038,32,186,2,-1,195,0
1042,29,190,1,-1,195,0
1050,45,118,2,-1,195,0
1052,27,671,2,-1,195,0
1053,50,1557,6,-1,195,0
1054,36,-20,3,-1,195,0
1057,47,438,3,-1,195,0
1062,30,-317,2,-1,195,0
1077,27,0,4,-1,195,0
1084,34,615,2,-1,195,0
1085,35,136,1,-1,195,0
1100,30,145,2,-1,195,0
1103,52,133,8,-1,195,0
1105,43,1924,7,-1,195,0
1107,43,487,2,-1,195,0
1109,32,81,5,-1,195,0
1112,30,98,1,-1,195,0
1113,48,1230,3,-1,195,0
1115,59,137,3,-1,195,0
1116,50,354,2,-1,195,0
1119,39,0,1,-1,195,0
1124,29,199,4,-1,195,0
1125,56,219,4,-1,195,0
1143,33,367,2,-1,195,0
1148,48,268,4,-1,195,0
1150,44,-97,3,-1,195,0
1152,35,788,3,-1,195,0
1155,38,447,4,-1,195,0
1160,28,597,2,-1,194,0
1163,32,89,3,-1,194,0
1164,30,442,2,-1,194,0
1166,29,247,1,-1,194,0
1176,37,190,1,-1,194,0
1177,52,46,1,-1,194,0
1180,27,96,1,-1,194,0
1184,42,198,1,-1,194,0
1192,33,-81,1,-1,194,0
1197,51,57,1,-1,194,0
1201,36,157,1,-1,194,0
1210,55,325,1,-1,194,0
1219,48,96,1,-1,194,0
1220,36,72,1,-1,194,0
1221,41,1715,1,-1,194,0
1226,51,226,1,-1,194,0
1236,34,10350,3,-1,194,0
1239,41,254,1,-1,194,0
1240,34,0,1,-1,194,0
1247,49,-8,1,-1,194,0
1263,47,643,1,-1,194,0
1265,34,80,1,-1,194,0
1284,31,1798,1,-1,194,0
1292,41,2398,2,-1,194,0
1304,38,904,1,-1,194,0
1312,31,1315,1,-1,194,0
1315,44,-84,3,-1,194,0
1323,57,2261,1,-1,194,0
1333,51,340,1,-1,194,0
1334,49,230,1,-1,194,0
1338,27,217,1,-1,194,0
1339,43,186,1,-1,194,0
1340,49,168,1,-1,194,0
1341,50,145,1,-1,194,0
1348,34,142,4,-1,194,0
1349,58,5,2,-1,194,0
1360,37,50,3,-1,194,0
1363,37,31,1,-1,194,0
1372,43,2067,1,-1,194,0
1375,34,301,1,-1,194,0
1378,49,275,1,-1,194,0
1379,60,414,1,-1,194,0
1385,33,1713,1,-1,194,0
1386,37,242,8,-1,194,0
1387,40,-29,2,-1,194,0
1388,59,381,4,-1,194,0
1392,40,640,2,-1,194,0
1394,39,1042,2,-1,194,0
1396,39,-244,2,-1,194,0
1399,31,59,3,-1,194,0
1406,46,846,2,-1,194,0
1409,31,406,1,-1,194,0
1425,46,587,2,-1,194,0
1428,40,-275,2,-1,194,0
1430,25,37,2,-1,194,0
1432,38,162,2,-1,194,0
1434,34,199,3,-1,194,0
1436,30,648,1,-1,194,0
1446,57,618,7,-1,194,0
1447,53,1786,2,-1,194,0
1450,32,459,2,-1,194,0
1459,49,1164,1,-1,194,0
1462,43,-192,2,-1,194,0
1464,55,332,2,-1,194,0
1467,57,-176,1,-1,194,0
1475,42,376,1,-1,194,0
1480,43,1824,1,-1,194,0
1493,38,362,5,-1,194,0
1498,39,830,2,-1,194,0
1499,34,-315,2,-1,194,0
1503,31,948,2,-1,194,0
1505,36,70,4,-1,194,0
1507,44,365,2,-1,194,0
1508,40,879,3,-1,194,0
1515,33,56,2,-1,194,0
1516,40,118,3,-1,194,0
1522,44,373,2,-1,194,0
1533,50,0,2,-1,194,0
1535,48,2642,3,-1,194,0
1547,53,359,8,-1,194,0
1548,37,496,2,-1,194,0
1552,48,574,2,-1,194,0
1556,40,23,5,-1,194,0
1568,52,-17,3,-1,194,0
1569,41,-417,3,-1,194,0
1570,30,528,4,-1,194,0
1571,32,394,2,-1,194,0
1574,44,138,3,-1,194,0
1575,36,406,3,-1,194,0
1580,39,-432,3,-1,194,0
1582,41,1080,4,-1,194,0
1586,26,498,3,-1,194,0
1590,47,699,1,-1,194,0
1595,43,1376,4,-1,194,0
1596,38,0,2,-1,194,0
1599,33,310,4,-1,194,0
1604,41,-97,5,-1,194,0
1608,44,576,3,-1,194,0
1622,32,536,2,-1,193,0
1632,49,186,1,-1,193,0
1633,47,1306,4,-1,193,0
1635,45,-88,1,-1,193,0
1638,27,230,1,-1,193,0
1642,35,4286,1,-1,193,0
1658,32,344,2,-1,193,0
1670,32,2068,1,-1,193,0
1672,34,-322,1,-1,193,0
1676,46,288,1,-1,193,0
1680,32,190,1,-1,193,0
1683,40,108,1,-1,193,0
1687,30,1825,1,-1,193,0
1697,36,133,1,-1,193,0
1705,59,1407,1,-1,193,0
1708,33,329,1,-1,193,0
1709,31,428,1,-1,193,0
1712,37,253,1,-1,193,0
1718,22,2412,2,-1,193,0
1723,28,3285,1,-1,193,0
1729,32,123,1,-1,193,0
1732,31,535,3,-1,193,0
1733,26,302,1,-1,193,0
1741,29,0,1,-1,193,0
1744,27,118,3,-1,193,0
1754,27,4,1,-1,193,0
1758,33,-305,1,-1,193,0
1761,31,1868,2,-1,193,0
1766,47,65,1,-1,193,0
1768,34,-68,1,-1,193,0
1774,31,238,2,-1,193,0
1777,46,-1124,2,-1,193,0
1778,27,662,1,-1,193,0
1783,48,149,1,-1,193,0
1791,30,1108,1,-1,193,0
1800,34,139,1,-1,193,0
1803,55,186,1,-1,193,0
1809,34,2257,1,-1,193,0
1811,39,304,1,-1,193,0
1819,33,88,2,-1,193,0
1830,53,-133,2,-1,193,0
1840,26,1349,1,-1,193,0
1848,38,9,3,-1,193,0
1856,53,-135,2,-1,193,0
1861,38,49,2,-1,193,0
1865,52,-97,4,-1,193,0
1868,27,527,1,-1,193,0
1870,47,266,1,-1,193,0
1874,33,92,1,-1,193,0
1875,44,-11,1,-1,193,0
1879,33,513,4,-1,193,0
1883,32,-208,1,-1,193,0
1885,27,1033,1,-1,193,0
1889,37,-175,1,-1,193,0
1894,45,-139,3,-1,193,0
1898,23,105,2,-1,193,0
1899,49,164,5,-1,193,0
1908,46,242,2,-1,193,0
1910,44,271,1,-1,193,0
1916,39,105,2,-1,193,0
1918,32,59,2,-1,193,0
1925,36,198,2,-1,193,0
1931,33,328,2,-1,193,0
1933,24,304,3,-1,193,0
1935,27,683,3,-1,193,0
1938,56,230,4,-1,193,0
1940,46,881,2,-1,193,0
1942,29,510,6,-1,193,0
1945,29,43,2,-1,193,0
1950,50,89,3,-1,193,0
1951,25,10,2,-1,193,0
1953,49,1387,2,-1,193,0
1962,29,3986,2,-1,193,0
1963,39,126,2,-1,193,0
1966,37,2378,2,-1,193,0
1970,34,391,2,-1,193,0
1975,48,231,3,-1,193,0
1977,38,138,3,-1,193,0
1981,45,5694,2,-1,193,0
1984,28,244,3,-1,193,0
1986,41,1696,3,-1,193,0
1990,53,913,4,-1,193,0
2003,30,15,1,-1,193,0
2004,23,375,3,-1,193,0
2012,47,8,4,-1,193,0
2027,33,0,2,-1,193,0
2033,32,85,9,-1,193,0
2039,34,222,6,-1,190,0
2040,35,86,4,-1,190,0
2042,28,26,3,-1,190,0
2050,49,0,2,-1,190,0
2054,44,304,2,-1,190,0
2055,51,7816,2,-1,190,0
2056,34,0,2,-1,190,0
2058,30,2581,2,-1,190,0
2061,34,-220,4,-1,190,0
2062,25,249,5,-1,190,0
2064,44,210,2,-1,190,0
2068,35,325,2,-1,190,0
2071,40,66,8,-1,190,0
2072,31,0,4,-1,190,0
2080,40,-278,3,-1,190,0
2090,39,36,2,-1,190,0
2091,36,2167,2,-1,190,0
2096,32,311,2,-1,190,0
2098,31,2963,1,-1,190,0
2102,25,-454,1,-1,190,0
2105,59,220,1,-1,190,0
2106,35,561,3,-1,190,0
2107,33,211,2,-1,190,0
2116,40,737,1,-1,190,0
2117,56,75,2,-1,190,0
2122,48,602,1,-1,190,0
2127,31,37,1,-1,190,0
2129,27,1,1,-1,190,0
2130,41,304,2,-1,190,0
2141,32,108,1,-1,190,0
2142,25,40,1,-1,190,0
2145,33,395,8,-1,190,0
2148,37,183,2,-1,190,0
2149,36,199,4,-1,190,0
2150,56,179,2,-1,190,0
2157,44,23,2,-1,190,0
2160,46,-29,1,-1,190,0
2185,49,5028,1,-1,190,0
2189,37,904,1,-1,190,0
2191,56,13,2,-1,190,0
2192,26,450,1,-1,190,0
2198,29,380,2,-1,190,0
2208,23,5,1,-1,190,0
2212,56,2087,1,-1,190,0
2219,30,37,2,-1,190,0
2220,37,454,1,-1,190,0
2225,42,-189,2,-1,190,0
2228,38,3165,2,-1,190,0
2232,36,134,2,-1,190,0
2236,45,0,2,-1,190,0
2243,36,177,5,-1,190,0
2245,28,205,3,-1,190,0
2248,38,762,2,-1,190,0
2251,40,2576,11,-1,190,0
2259,21,137,3,-1,190,0
2263,33,339,2,-1,190,0
2264,47,218,7,-1,190,0
2267,32,1345,3,-1,190,0
2280,31,-474,2,-1,190,0
2285,38,551,4,-1,190,0
2289,53,0,7,-1,190,0
2291,57,0,3,-1,190,0
2292,58,146,6,-1,190,0
2293,50,-37,3,-1,190,0
2302,30,317,6,-1,190,0
2313,46,41,4,-1,190,0
2314,36,1554,4,-1,190,0
2317,22,650,4,-1,190,0
2323,28,487,4,-1,189,0
2326,26,-3,5,-1,189,0
2327,22,-168,3,-1,189,0
2328,35,414,4,-1,189,0
2335,27,-541,1,-1,189,0
2340,37,178,1,-1,189,0
2342,32,-428,1,-1,189,0
2346,32,175,1,-1,189,0
2360,29,125,1,-1,189,0
2366,40,2172,1,-1,189,0
2370,41,429,1,-1,189,0
2373,29,544,1,-1,189,0
2376,30,1374,1,-1,189,0
2379,22,594,1,-1,189,0
2386,45,66,3,-1,189,0
2392,34,505,1,-1,189,0
2402,23,281,1,-1,189,0
2408,20,-103,1,-1,189,0
2410,41,705,1,-1,189,0
2411,37,1950,1,-1,189,0
2427,21,-273,1,-1,189,0
2428,23,2594,1,-1,189,0
2433,26,3825,1,-1,189,0
2438,31,263,2,-1,189,0
2439,45,4646,1,-1,189,0
2451,54,879,1,-1,189,0
2460,54,363,1,-1,189,0
2466,41,-111,1,-1,189,0
2467,43,3373,1,-1,189,0
2472,30,-166,5,-1,189,0
2481,48,1199,1,-1,189,0
2483,60,1262,1,-1,189,0
2492,44,6203,1,-1,189,0
2499,43,-633,1,-1,189,0
2500,50,5356,1,-1,189,0
2502,43,4478,1,-1,189,0
2504,59,-892,1,-1,189,0
2510,47,521,1,-1,189,0
2516,37,368,2,-1,189,0
2524,42,5,1,-1,189,0
2527,28,416,2,-1,189,0
2531,34,402,2,-1,189,0
2544,47,300,3,-1,189,0
2546,57,3571,2,-1,189,0
2556,51,463,5,-1,189,0
2563,47,113,1,-1,189,0
2566,41,0,1,-1,189,0
2581,36,373,1,-1,189,0
2586,53,1570,1,-1,189,0
2587,52,1161,1,-1,189,0
2590,54,88,1,-1,189,0
